imagem_1,imagem_2,algoritmo,similaridade_%,mesma_lixeira,imagem_matches
PAP-0005 Cad.jpg,PAP-0005 Op.jpg,SIFT,3.56,NÃO,matches/PAP-0005 Cad_PAP-0005 Op_sift.jpg
PAP-0026 Cad.jpg,PAP-0026 Op.jpg,SIFT,1.02,NÃO,matches/PAP-0026 Cad_PAP-0026 Op_sift.jpg
PAP-0030 Cad.jpg,PAP-0030 Op.jpg,SIFT,1.42,NÃO,matches/PAP-0030 Cad_PAP-0030 Op_sift.jpg
PAP-0031 Cad.jpg,PAP-0031 Op.jpg,SIFT,1.04,NÃO,matches/PAP-0031 Cad_PAP-0031 Op_sift.jpg
PAP-0072 Cad.jpg,PAP-0072 Op.jpg,SIFT,0.69,NÃO,matches/PAP-0072 Cad_PAP-0072 Op_sift.jpg
PAP-0080 Cad.jpg,PAP-0080 Op.jpg,SIFT,1.63,NÃO,matches/PAP-0080 Cad_PAP-0080 Op_sift.jpg
PAP-01084 Cad.jpg,PAP-01084 Op.jpg,SIFT,1.29,NÃO,matches/PAP-01084 Cad_PAP-01084 Op_sift.jpg
PAP-01086 Cad.jpg,PAP-01086 Op.jpg,SIFT,1.65,NÃO,matches/PAP-01086 Cad_PAP-01086 Op_sift.jpg
PAP-0166 Cad.jpg,PAP-0166 Op.jpg,SIFT,1.81,NÃO,matches/PAP-0166 Cad_PAP-0166 Op_sift.jpg
PAP-5156 Cad.jpg,PAP-5156 Op.jpg,SIFT,2.79,NÃO,matches/PAP-5156 Cad_PAP-5156 Op_sift.jpg
